ID,Title,Description,Category_title,Geometry_Coordinates_1,Geometry_Coordinates_2,Geometry_Coordinates_3,Geometry_Coordinates_4,Date,Time
EONET_14210,Uncle Sam Creek Wildfire  Fairbanks North Star  Alaska,20 Miles E from Salcha  AK,Wildfires,-146.271833  64.4515,,,,2025-07-03,19:58:00
EONET_14205,MARBLE COMPLEX Incident Complex  Siskiyou  California,16 Miles W from Etna  CA,Wildfires,-123.1997222  41.4258333,,,,2025-07-03,14:22:00
EONET_14227,Rx Jasper 3208 Prescribed Fire  Jasper  Texas,,Wildfires,-94.056877  30.778548,,,,2025-07-03,13:53:00
EONET_14211,Wilder Wildfire  Fergus  Montana,27 Miles NE from Roy  MT,Wildfires,-108.452633  47.556967,,,,2025-07-03,01:30:00
EONET_14223,Spring Creek Wildfire  Platte  Wyoming,10 Miles S from Douglas  WY,Wildfires,-105.230283  42.604967,,,,2025-07-02,20:31:00
EONET_14201,APPLE ACRES Wildfire  Chelan  Washington,5 Miles S from Pateros  WA,Wildfires,-119.91205  47.926667,,,,2025-07-02,19:37:00
EONET_14219,SIEGEL Wildfire  Spokane  Washington,14 Miles S from CHENEY  WA,Wildfires,-117.547016  47.282184,,,,2025-07-02,18:52:00
EONET_14225,COLD SPRINGS Wildfire  Umatilla  Oregon,12 Miles NE from Hermiston  OR,Wildfires,-119.097306  45.923944,,,,2025-07-02,18:50:00
EONET_14208,Juniper Wildfire  Yavapai  Arizona,5 Miles W from Black Canyon City  AZ,Wildfires,-112.258333  34.1135,,,,2025-07-02,18:11:00
EONET_14212,0391 GRIZZLY FLAT Wildfire  Jefferson  Oregon,12 Miles NE from Prineville  OR,Wildfires,-120.950117  44.4813,,,,2025-07-02,15:47:00
EONET_14206,GREEN Wildfire  Shasta  California,13 Miles E from Lakehead  CA,Wildfires,-122.096717  40.833867,,,,2025-07-02,12:19:00
EONET_14153,Tropical Storm Mun,,Severe Storms,146.8  25.7,146.3  26.2,145.6  26.7,145.4  27,2025-07-02,06:00:00
EONET_14226,Powder River Wildfire  Johnson  Wyoming,24 Miles NW from Gillette  WY,Wildfires,-106.0963  44.43205,,,,2025-07-01,22:56:00
EONET_14228,HALL Wildfire  Hot Springs  Wyoming,2 Miles W from Kirby  WY,Wildfires,-108.223028  43.731972,,,,2025-07-01,18:30:00
EONET_14213,Black Canyon Wildfire  Lake  Oregon,15 Miles E from Plush  OR,Wildfires,-119.591367  42.425033,,,,2025-07-01,14:51:00
EONET_14214,Mosquito Wildfire  Monroe  Florida,22 Miles W from Homestead  FL,Wildfires,-80.896733  25.533017,,,,2025-07-01,13:05:00
EONET_14130,JUNIPER Wildfire  Riverside  California,11 Miles W from Gavilan Hills  CA,Wildfires,-117.326132  33.802331,,,,2025-06-30,14:29:00
EONET_14129,WOLF Wildfire  Riverside  California,2 Miles S from Banning  CA,Wildfires,-116.89443  33.871222,,,,2025-06-29,18:30:00
EONET_14131,Taylor Draw Wildfire  Carbon  Wyoming,16 Miles W from Hanna  WY,Wildfires,-106.794327  41.853392,,,,2025-06-29,01:39:00
EONET_14132,Oak Ridge Wildfire  Apache  Arizona,5 Miles SW from Window Rock  AZ,Wildfires,-109.1863889  35.6166667,,,,2025-06-28,20:55:00
EONET_14060,Horse Draw Wildfire  Moffat  Colorado,4 Miles NE from Massadona  CO,Wildfires,-108.598633  40.26395,,,,2025-06-26,18:07:00
EONET_14082,EVP CP-1 Exotics Rx 0626 Prescribed Fire  Monroe  Florida,,Wildfires,-81.190217  25.6428,,,,2025-06-26,08:36:00
EONET_14081,EVP CP-1 Exotics Rx 0625 Prescribed Fire  Monroe  Florida,,Wildfires,-81.190217  25.6428,,,,2025-06-25,07:39:00
EONET_14085,EVER CP-1 Exotics Rx Prescribed Fire  Monroe  Florida,,Wildfires,-81.190217  25.6428,,,,2025-06-25,07:17:00
EONET_14086,FPR CPT 35 36 Rx 0625 Prescribed Fire  Collier  Florida,,Wildfires,-81.3562  26.204167,,,,2025-06-25,07:14:00
EONET_14087,OKR Soldiers Camp Island Rx 0625 Prescribed Fire  Ware  Georgia,,Wildfires,-82.210217  30.597533,,,,2025-06-25,07:12:00
EONET_14072,Indian Prairie Canal (22) Wildfire  Glades  Florida,7 Miles SW from Buckhead Ridge  FL,Wildfires,-80.9752778  27.0647222,,,,2025-06-24,21:58:00
EONET_14098,HENRY GEORGE WEST (29)~ Wildfire  Hillsborough  Florida,9 Miles E from BRANDON  FL,Wildfires,-82.1061111  27.9261111,,,,2025-06-24,21:47:00
